Lneg_protein,ProteinID_isoformremoved,percent_identity,BLASTPProteinMatch,BLASTP_annotation,E-value,Bit-score
Lneg_g14128_i1,Lneg_g14128,99.198,gb|KMQ95811.1|,hypothetical protein RF55_3952 [Lasius niger],0,1021
Lneg_g14129_i1,Lneg_g14129,61.822,ref|XP_026831104.1|,uncharacterized protein LOC113563579 [Ooceraea biroi],0,521
Lneg_g14130_i1,Lneg_g14130,44.118,ref|XP_024871325.1|,monocarboxylate transporter 3-like [Temnothorax curvispinosus],7.35E-11,69.3
Lneg_g14131_i2,Lneg_g14131,77.544,ref|XP_018045719.1|,PREDICTED: uncharacterized protein LOC108685446 [Atta colombica],0,948
Lneg_g14132_i1,Lneg_g14132,39.916,ref|NP_569979.1|,uncharacterized protein Dmel_CG4025 [Drosophila melanogaster],3.06E-58,188
Lneg_g14133_i1,Lneg_g14133,78.056,ref|XP_024871277.1|,uncharacterized protein LOC112454237 [Temnothorax curvispinosus],0,1541
Lneg_g14134_i1,Lneg_g14134,66.946,ref|NP_001303467.1|,"Kctd12-like, isoform B [Drosophila melanogaster]",1.99E-112,324
Lneg_g14135_i1,Lneg_g14135,99.843,gb|KMQ93109.1|,mucolipin-3 isoform 2 [Lasius niger],0,1321
Lneg_g14136_i1,Lneg_g14136,93.182,ref|XP_024871291.1|,kelch-like protein 5 [Temnothorax curvispinosus],0,1143
Lneg_g14138_i1,Lneg_g14138,99.065,gb|KMQ89532.1|,dynein light chain axonemal [Lasius niger],1.22E-76,223
Lneg_g14139_i1,Lneg_g14139,99.02,ref|XP_011061154.1|,"PREDICTED: dynein light chain 4, axonemal-like [Acromyrmex echinatior]",1.09E-72,213
Lneg_g14140_i1,Lneg_g14140,99.07,gb|KMQ91805.1|,"putative cytosolic fe-s cluster assembly factor, partial [Lasius niger]",0,891
Lneg_g14141_i1,Lneg_g14141,98.718,ref|XP_024871308.1|,josephin-2 [Temnothorax curvispinosus],3.47E-173,479
Lneg_g14142_i1,Lneg_g14142,75.028,ref|NP_609946.1|,lethal (2) 37Cb [Drosophila melanogaster],0,1396
Lneg_g14144_i1,Lneg_g14144,96.87,ref|XP_024872903.1|,mediator of RNA polymerase II transcription subunit 15-like [Temnothorax curvispinosus],0,1192
Lneg_g14145_i1,Lneg_g14145,86.207,ref|XP_024872904.1|,alpha-methylacyl-CoA racemase [Temnothorax curvispinosus],0,657
Lneg_g14146_i1,Lneg_g14146,89.908,ref|XP_012215775.1|,PREDICTED: protein phosphatase 1 regulatory subunit 7 isoform X1 [Linepithema humile],0,556
Lneg_g14147_i3,Lneg_g14147,96.429,ref|NP_476805.1|,"microtubule star, isoform A [Drosophila melanogaster]",0,520
Lneg_g14148_i1,Lneg_g14148,78.549,ref|XP_011329944.1|,graves disease carrier protein [Ooceraea biroi],1.58E-179,501
Lneg_g14149_i1,Lneg_g14149,36.983,ref|XP_024872895.1|,protein KBP homolog [Temnothorax curvispinosus],2.54E-95,301
Lneg_g14150_i1,Lneg_g14150,93.986,gb|KMQ92660.1|,dna-directed rna polymerase i subunit rpa2-like protein [Lasius niger],0,1912
Lneg_g14151_i1,Lneg_g14151,91.506,ref|XP_026827881.1|,uncharacterized protein LOC105275040 [Ooceraea biroi],0,961
Lneg_g14152_i1,Lneg_g14152,62.288,ref|XP_011169244.1|,protein adenylyltransferase Fic [Solenopsis invicta],0,540
Lneg_g14153_i1,Lneg_g14153,97.368,gb|KMQ96496.1|,gtp cyclohydrolase 1 [Lasius niger],0,532
Lneg_g14154_i1,Lneg_g14154,92.544,gb|KMQ96495.1|,hypothetical protein RF55_3217 [Lasius niger],5.27E-148,421
Lneg_g14155_i1,Lneg_g14155,38.554,ref|XP_026294954.1|,probable serine/threonine-protein kinase kinX [Apis mellifera],2.23E-23,99
Lneg_g14156_i1,Lneg_g14156,83.193,ref|NP_523817.1|,fibrillarin [Drosophila melanogaster],3.02E-146,417
Lneg_g14158_i2,Lneg_g14158,92.278,ref|XP_024870050.1|,general transcription and DNA repair factor IIH helicase subunit XPD-like [Temnothorax curvispinosus],0,1510
Lneg_g14159_i1,Lneg_g14159,98.664,gb|KMQ96492.1|,tubulin-specific chaperone e [Lasius niger],0,1056
Lneg_g14160_i1,Lneg_g14160,86.264,ref|XP_024870053.1|,lactoylglutathione lyase-like isoform X1 [Temnothorax curvispinosus],1.54E-119,338
Lneg_g14161_i1,Lneg_g14161,95.392,ref|XP_025987838.1|,UPF0428 protein CXorf56 homolog [Solenopsis invicta],8.35E-148,412
Lneg_g14162_i1,Lneg_g14162,76.203,ref|XP_018051259.1|,PREDICTED: uncharacterized protein LOC108689127 [Atta colombica],0,3237
Lneg_g14164_i1,Lneg_g14164,29.366,ref|NP_611111.1|,uncharacterized protein Dmel_CG9068 [Drosophila melanogaster],3.34E-83,288
Lneg_g14165_i1,Lneg_g14165,99.566,gb|KMR02294.1|,retinoblastoma-binding protein 5 [Lasius niger],0,956
Lneg_g14166_i1,Lneg_g14166,34.694,ref|NP_001286609.1|,"windbeutel, isoform B [Drosophila melanogaster]",5.61E-40,141
Lneg_g14167_i1,Lneg_g14167,99.621,gb|KMR02296.1|,ran-specific gtpase-activating protein [Lasius niger],0,538
Lneg_g14168_i1,Lneg_g14168,100,ref|XP_011349614.1|,serine/threonine-protein phosphatase alpha-2 isoform [Ooceraea biroi],0,681
Lneg_g14169_i1,Lneg_g14169,99.438,gb|KMR02299.1|,t-box transcription factor tbx1 [Lasius niger],1.14E-126,365
Lneg_g14170_i2,Lneg_g14170,42.012,ref|NP_572480.1|,Es2 [Drosophila melanogaster],2.76E-110,338
Lneg_g14171_i1,Lneg_g14171,59.783,ref|XP_024885740.1|,uncharacterized protein LOC112463536 [Temnothorax curvispinosus],3.95E-90,293
Lneg_g14172_i1,Lneg_g14172,55.897,ref|XP_024885736.1|,uncharacterized protein LOC112463531 [Temnothorax curvispinosus],1.07E-59,187
Lneg_g14174_i1,Lneg_g14174,96.778,gb|KMR02302.1|,hypothetical protein RF55_874 [Lasius niger],0,1663
Lneg_g14175_i1,Lneg_g14175,26.327,ref|XP_011165402.1|,cingulin [Solenopsis invicta],1.72E-08,59.7
Lneg_g14176_i1,Lneg_g14176,91.282,gb|KMQ88383.1|,hypothetical protein RF55_12146 [Lasius niger],7.07E-131,367
Lneg_g14177_i1,Lneg_g14177,63.793,ref|XP_024885737.1|,uncharacterized protein LOC112463532 [Temnothorax curvispinosus],3.2E-38,127
Lneg_g14178_i1,Lneg_g14178,96.438,gb|KMQ93615.1|,ataxin-2-like protein [Lasius niger],0,1469
Lneg_g14179_i1,Lneg_g14179,51.797,ref|NP_649777.1|,uncharacterized protein Dmel_CG9630 [Drosophila melanogaster],0,606
Lneg_g14181_i1,Lneg_g14181,99.128,gb|KMQ97078.1|,dual specificity protein phosphatase 12 [Lasius niger],0,713
Lneg_g14182_i1,Lneg_g14182,93.594,ref|XP_012228668.1|,PREDICTED: ATP-binding cassette sub-family F member 1 [Linepithema humile],0,1164
Lneg_g14183_i1,Lneg_g14183,87.143,ref|XP_011066689.1|,PREDICTED: transcriptional coactivator YAP1 [Acromyrmex echinatior],0,587
Lneg_g14188_i1,Lneg_g14188,80.736,ref|XP_011158715.1|,uncharacterized protein LOC105195149 [Solenopsis invicta],0,1871
Lneg_g14190_i1,Lneg_g14190,34.272,ref|XP_039313505.1|,uncharacterized protein LOC120359576 [Solenopsis invicta],3.62E-69,236
Lneg_g14195_i1,Lneg_g14195,78.082,ref|XP_012230296.1|,PREDICTED: probable oligoribonuclease [Linepithema humile],3.88E-128,362
Lneg_g14196_i1,Lneg_g14196,83.477,ref|XP_011345402.2|,CCR4-NOT transcription complex subunit 10 isoform X4 [Ooceraea biroi],0,1179
Lneg_g14197_i1,Lneg_g14197,67.081,gb|KMQ89280.1|,protein bric-a-brac 2 [Lasius niger],1.22E-116,343
Lneg_g14200_i1,Lneg_g14200,29.208,ref|XP_024893627.1|,uncharacterized protein LOC112468603 [Temnothorax curvispinosus],2.63E-45,167
Lneg_g14201_i1,Lneg_g14201,34.94,ref|XP_011160196.3|,uncharacterized protein LOC105196132 [Solenopsis invicta],8.75E-09,53.5
Lneg_g14203_i1,Lneg_g14203,95.946,ref|XP_011053214.1|,PREDICTED: protein kish-A [Acromyrmex echinatior],2.02E-46,144
Lneg_g14204_i1,Lneg_g14204,92.361,ref|XP_025991589.1|,lachesin [Solenopsis invicta],0,829
Lneg_g14205_i1,Lneg_g14205,42.254,ref|XP_019887890.2|,G-protein coupled receptor Mth2 isoform X1 [Ooceraea biroi],1.65E-163,484
Lneg_g14206_i1,Lneg_g14206,76.364,ref|XP_024881477.1|,SIN3-HDAC complex-associated factor-like [Temnothorax curvispinosus],2.73E-160,452
Lneg_g14207_i1,Lneg_g14207,97.71,ref|XP_011068204.1|,PREDICTED: nucleolysin TIAR [Acromyrmex echinatior],0,808
Lneg_g14208_i1,Lneg_g14208,90.111,ref|XP_011160146.1|,spastin isoform X1 [Solenopsis invicta],0,1283
Lneg_g14209_i2,Lneg_g14209,47.059,ref|NP_001027230.1|,"mutagen-sensitive 201, isoform C [Drosophila melanogaster]",1.09E-26,109
Lneg_g14210_i1,Lneg_g14210,100,gb|KMQ86548.1|,suppressor of hairless protein [Lasius niger],0,1075
Lneg_g14211_i1,Lneg_g14211,96.106,ref|XP_026829430.1|,myosin-VIIa [Ooceraea biroi],0,3870
Lneg_g14213_i1,Lneg_g14213,53.521,gb|KMQ97000.1|,"luciferin 4-monooxygenase, partial [Lasius niger]",1.23E-117,349
Lneg_g14214_i1,Lneg_g14214,38.65,ref|XP_024872742.1|,4-coumarate--CoA ligase-like 7 [Temnothorax curvispinosus],9.28E-100,312
Lneg_g14215_i1,Lneg_g14215,98.734,gb|KMQ98169.1|,nacht and wd repeat domain-containing protein 1-like protein [Lasius niger],1.45E-102,324
Lneg_g14216_i1,Lneg_g14216,99.274,gb|KMQ98168.1|,bifunctional 3 -phosphoadenosine 5 -phosphosulfate synthetase [Lasius niger],0,1146
Lneg_g14217_i1,Lneg_g14217,89.975,ref|XP_024868540.1|,"3-ketoacyl-CoA thiolase, mitochondrial [Temnothorax curvispinosus]",0,745
Lneg_g14220_i1,Lneg_g14220,32.189,ref|XP_011340807.1|,F-box only protein 21 [Ooceraea biroi],1.69E-24,103
Lneg_g14222_i3,Lneg_g14222,88.034,ref|XP_012224554.1|,PREDICTED: LOW QUALITY PROTEIN: disco-interacting protein 2 homolog C [Linepithema humile],0,3997
Lneg_g14223_i1,Lneg_g14223,37.864,ref|NP_649130.2|,uncharacterized protein Dmel_CG14100 [Drosophila melanogaster],3.92E-43,159
Lneg_g14224_i1,Lneg_g14224,59.091,ref|XP_026829733.1|,uncharacterized protein LOC113562982 [Ooceraea biroi],4.3E-78,239
Lneg_g14225_i1,Lneg_g14225,92.256,gb|KMQ95615.1|,gamma-tubulin complex component 3 [Lasius niger],0,1419
Lneg_g14226_i1,Lneg_g14226,89.848,ref|XP_024887383.1|,zinc transporter ZIP9-A-like [Temnothorax curvispinosus],1.96E-123,352
Lneg_g14227_i1,Lneg_g14227,98.72,gb|KMQ95025.1|,dentin sialophospho [Lasius niger],0,1225
Lneg_g14228_i1,Lneg_g14228,63.653,ref|XP_625125.2|,glucosidase 2 subunit beta [Apis mellifera],0,684
Lneg_g14230_i1,Lneg_g14230,89.43,ref|XP_011167301.1|,manganese-transporting ATPase 13A1 [Solenopsis invicta],0,2170
Lneg_g14231_i2,Lneg_g14231,80.064,ref|XP_024892429.1|,sodium-coupled monocarboxylate transporter 1-like [Temnothorax curvispinosus],0,990
Lneg_g14233_i1,Lneg_g14233,99.83,gb|KMQ85821.1|,tetratricopeptide repeat protein 21b [Lasius niger],0,1212
Lneg_g14234_i1,Lneg_g14234,83.938,ref|XP_024883169.1|,proton-associated sugar transporter A [Temnothorax curvispinosus],0,623
Lneg_g14237_i1,Lneg_g14237,69.334,ref|XP_026824452.1|,uncharacterized protein LOC105281885 [Ooceraea biroi],0,1806
Lneg_g14238_i1,Lneg_g14238,84.718,ref|XP_024892082.1|,peroxidasin [Temnothorax curvispinosus],0,2231
Lneg_g14239_i1,Lneg_g14239,71.186,ref|XP_024892083.1|,acyl-coenzyme A thioesterase 13-like [Temnothorax curvispinosus],3.76E-61,186
Lneg_g14240_i1,Lneg_g14240,35.091,ref|NP_650205.1|,toys are us [Drosophila melanogaster],1.36E-80,259
Lneg_g14241_i1,Lneg_g14241,84.709,ref|XP_018058514.1|,PREDICTED: protein fuzzy homolog [Atta colombica],0,724
Lneg_g14242_i1,Lneg_g14242,98.842,gb|KMQ94759.1|,39s ribosomal protein mitochondrial [Lasius niger],0,530
Lneg_g14243_i1,Lneg_g14243,97.49,gb|KMQ94758.1|,zinc finger mym-type protein 4-like protein [Lasius niger],0,2448
Lneg_g14244_i1,Lneg_g14244,94.615,gb|KMQ94757.1|,putative e3 ubiquitin-protein ligase makorin-1-like protein [Lasius niger],0,767
Lneg_g14245_i1,Lneg_g14245,96.203,gb|KMQ91075.1|,rap1 gtpase-gdp dissociation stimulator 1-b [Lasius niger],0,1212
Lneg_g14246_i1,Lneg_g14246,82.667,ref|XP_011167279.1|,transmembrane protein 242 [Solenopsis invicta],6.49E-91,263
Lneg_g14247_i1,Lneg_g14247,48.077,gb|KMQ82402.1|,ubiquitin carboxyl-terminal hydrolase [Lasius niger],2.42E-27,102
Lneg_g14250_i1,Lneg_g14250,44.498,ref|XP_011163636.1|,hormone-sensitive lipase [Solenopsis invicta],3.21E-40,146
Lneg_g14251_i1,Lneg_g14251,37.273,ref|XP_024879301.1|,uncharacterized protein LOC112459437 [Temnothorax curvispinosus],1.96E-51,184
Lneg_g14252_i2,Lneg_g14252,44.961,ref|NP_572673.1|,C901 [Drosophila melanogaster],2.71E-25,106
Lneg_g14253_i1,Lneg_g14253,94.43,ref|XP_012216421.1|,PREDICTED: protein zyg-11 homolog B-like isoform X1 [Linepithema humile],0,1542
Lneg_g14254_i1,Lneg_g14254,85.526,ref|XP_024880675.1|,"cysteine desulfurase, mitochondrial [Temnothorax curvispinosus]",3.68E-43,147
Lneg_g14256_i1,Lneg_g14256,53.02,gb|KMQ92276.1|,hypothetical protein RF55_7761 [Lasius niger],4.89E-102,303
Lneg_g14257_i1,Lneg_g14257,99.172,gb|KMQ90293.1|,"dep domain-containing protein 5, partial [Lasius niger]",0,1024
Lneg_g14258_i1,Lneg_g14258,44.675,ref|XP_003250399.1|,inner centromere protein [Apis mellifera],2.58E-74,241
Lneg_g14259_i1,Lneg_g14259,67.556,ref|XP_018047647.1|,PREDICTED: phospholipid scramblase 1-like [Atta colombica],3.63E-110,320
Lneg_g14260_i2,Lneg_g14260,71.321,ref|XP_018047647.1|,PREDICTED: phospholipid scramblase 1-like [Atta colombica],2.65E-137,389
Lneg_g14261_i1,Lneg_g14261,95.913,ref|XP_026827898.1|,arginine kinase isoform X2 [Ooceraea biroi],0,731
Lneg_g14262_i1,Lneg_g14262,25.263,ref|XP_039305780.1|,uncharacterized protein LOC105204173 [Solenopsis invicta],0.00000129,50.4
Lneg_g14263_i1,Lneg_g14263,73,ref|XP_024868217.1|,LOW QUALITY PROTEIN: uncharacterized protein LOC112452318 [Temnothorax curvispinosus],6.12E-45,150
Lneg_g14264_i1,Lneg_g14264,48.529,ref|NP_523910.1|,"maggie, isoform A [Drosophila melanogaster]",1.47E-38,130
Lneg_g14265_i1,Lneg_g14265,99.441,gb|KMQ96234.1|,39s ribosomal protein mitochondrial [Lasius niger],9.72E-130,363
Lneg_g14266_i1,Lneg_g14266,55.012,ref|NP_649905.1|,uncharacterized protein Dmel_CG8199 [Drosophila melanogaster],1.14E-168,482
Lneg_g14269_i1,Lneg_g14269,78.161,gb|KMQ88060.1|,type iii desmin [Lasius niger],1.63E-113,334
Lneg_g14271_i1,Lneg_g14271,87.092,ref|XP_024882286.1|,uncharacterized protein LOC112461316 [Temnothorax curvispinosus],0,1181
Lneg_g14274_i1,Lneg_g14274,41.395,gb|KMQ92618.1|,reverse transcriptase [Lasius niger],9.3E-156,507
Lneg_g14277_i1,Lneg_g14277,81.038,ref|XP_011061897.1|,PREDICTED: kynurenine 3-monooxygenase [Acromyrmex echinatior],0,764
Lneg_g14278_i1,Lneg_g14278,81.089,ref|XP_011331949.1|,2-acylglycerol O-acyltransferase 2-A [Ooceraea biroi],0,608
Lneg_g14279_i1,Lneg_g14279,95.21,ref|XP_011333654.1|,protein GDAP2 homolog [Ooceraea biroi],0,1013
Lneg_g14280_i1,Lneg_g14280,56.584,ref|XP_024882872.1|,interaptin isoform X2 [Temnothorax curvispinosus],2.17E-57,223
Lneg_g14283_i1,Lneg_g14283,93.103,ref|XP_024876611.1|,histone demethylase UTY-like [Temnothorax curvispinosus],6.35E-97,278
Lneg_g14284_i1,Lneg_g14284,57.576,gb|KMQ94605.1|,hypothetical protein RF55_5231 [Lasius niger],2.98E-38,136
Lneg_g14285_i1,Lneg_g14285,53.902,gb|KMQ90172.1|,gag-pol polyprotein [Lasius niger],1.4E-144,441
Lneg_g14289_i1,Lneg_g14289,37.237,ref|XP_011170595.1|,ester hydrolase C11orf54 homolog [Solenopsis invicta],1.45E-55,187
Lneg_g14292_i1,Lneg_g14292,83.047,ref|XP_012215439.1|,PREDICTED: ATP-binding cassette sub-family D member 1 [Linepithema humile],0,637
Lneg_g14293_i1,Lneg_g14293,89.938,ref|XP_011329577.2|,roundabout homolog 2 [Ooceraea biroi],0,2517
Lneg_g14294_i1,Lneg_g14294,75.484,ref|XP_024888778.1|,uncharacterized protein LOC112465457 [Temnothorax curvispinosus],1.16E-73,223
Lneg_g14295_i1,Lneg_g14295,62.115,ref|XP_026827817.1|,uncharacterized protein LOC113562452 [Ooceraea biroi],0,614
Lneg_g14296_i1,Lneg_g14296,83.041,ref|XP_024888773.1|,uncharacterized protein LOC112465453 [Temnothorax curvispinosus],3.7E-88,258
Lneg_g14298_i1,Lneg_g14298,86.151,ref|XP_024888762.1|,uncharacterized protein LOC112465447 [Temnothorax curvispinosus],0,795
Lneg_g14299_i1,Lneg_g14299,98.086,ref|XP_011164111.1|,peptidyl-prolyl cis-trans isomerase [Solenopsis invicta],3.64E-153,425
Lneg_g14300_i1,Lneg_g14300,99.375,gb|KMQ96490.1|,1-phosphatidylinositol- -bisphosphate phosphodiesterase epsilon-1-like protein [Lasius niger],3.49E-115,328
Lneg_g14301_i1,Lneg_g14301,93.989,ref|XP_024883611.1|,calexcitin-2 [Temnothorax curvispinosus],1.52E-127,358
Lneg_g14302_i1,Lneg_g14302,73.81,ref|XP_039305597.1|,potassium voltage-gated channel subfamily KQT member 1 isoform X1 [Solenopsis invicta],4.96E-44,157
Lneg_g14306_i1,Lneg_g14306,100,ref|XP_011049512.1|,PREDICTED: uncharacterized protein LOC105143144 isoform X1 [Acromyrmex echinatior],6.73E-62,188
Lneg_g14307_i1,Lneg_g14307,90.385,gb|KMQ91706.1|,cytoplasmic antigen 1 [Lasius niger],6.77E-62,187
Lneg_g14313_i1,Lneg_g14313,95.133,gb|KMR04947.1|,tbc1 domain family member 25-like protein [Lasius niger],0,1770
Lneg_g14314_i1,Lneg_g14314,84.548,ref|XP_039310169.1|,growth hormone-inducible transmembrane protein [Solenopsis invicta],0,543
Lneg_g14315_i1,Lneg_g14315,82.696,ref|XP_026824389.1|,uncharacterized protein LOC105277234 [Ooceraea biroi],0,1444
Lneg_g14316_i1,Lneg_g14316,96.439,ref|XP_011161003.2|,rho-associated protein kinase 1 isoform X1 [Solenopsis invicta],0,2755
Lneg_g14317_i1,Lneg_g14317,86.466,ref|XP_039310168.1|,BTB/POZ domain-containing protein 1 [Solenopsis invicta],0,954
Lneg_g14318_i1,Lneg_g14318,88.437,ref|XP_024874951.1|,protein O-mannosyltransferase 1 [Temnothorax curvispinosus],0,1435
Lneg_g14319_i1,Lneg_g14319,84.229,ref|XP_012215364.1|,PREDICTED: ATPase WRNIP1-like [Linepithema humile],0,969
Lneg_g14320_i1,Lneg_g14320,99.052,gb|KMR04954.1|,hypothetical protein RF55_331 [Lasius niger],1.01E-157,437
Lneg_g14322_i1,Lneg_g14322,98.951,ref|XP_018050653.1|,PREDICTED: WD repeat-containing protein 7 isoform X3 [Atta colombica],0,601
Lneg_g14324_i1,Lneg_g14324,30.12,gb|KMQ88178.1|,hypothetical protein RF55_12376 [Lasius niger],1.04E-09,59.3
Lneg_g14326_i1,Lneg_g14326,28.169,ref|XP_039303192.1|,uncharacterized protein LOC105205299 [Solenopsis invicta],1.53E-12,72.8
Lneg_g14327_i1,Lneg_g14327,49.624,ref|XP_024880432.1|,uncharacterized protein LOC112460132 [Temnothorax curvispinosus],7.45E-41,145
Lneg_g14328_i1,Lneg_g14328,67.895,ref|XP_011329580.2|,kanadaptin [Ooceraea biroi],0,950
Lneg_g14329_i1,Lneg_g14329,78.049,ref|XP_011164095.1|,uncharacterized protein LOC105198931 [Solenopsis invicta],3.04E-78,232
Lneg_g14330_i1,Lneg_g14330,55.665,gb|KMQ92357.1|,f-box only protein 21-like protein [Lasius niger],2.83E-137,408
Lneg_g14332_i1,Lneg_g14332,84.861,ref|XP_012230008.1|,PREDICTED: forkhead box protein P1 isoform X1 [Linepithema humile],7.85E-142,424
Lneg_g14334_i2,Lneg_g14334,92.188,ref|XP_011348758.1|,poly(rC)-binding protein 4 isoform X1 [Ooceraea biroi],0,592
Lneg_g14336_i1,Lneg_g14336,91.551,ref|XP_024867860.1|,"alpha-mannosidase 2, partial [Temnothorax curvispinosus]",0,1778
Lneg_g14337_i1,Lneg_g14337,72.727,ref|XP_024892127.1|,putative nuclease HARBI1 [Temnothorax curvispinosus],0.000000199,51.2
Lneg_g14340_i1,Lneg_g14340,80.032,ref|XP_011330372.1|,sodium-coupled monocarboxylate transporter 1 [Ooceraea biroi],0,1010
Lneg_g14341_i1,Lneg_g14341,56.431,gb|KMQ85461.1|,proto-oncogene tyrosine-protein kinase ros [Lasius niger],0,662
Lneg_g14346_i1,Lneg_g14346,67.806,ref|XP_024893988.1|,uncharacterized protein LOC112468850 [Temnothorax curvispinosus],0,1312
Lneg_g14347_i1,Lneg_g14347,77.273,ref|XP_024893993.1|,zinc finger and BTB domain-containing protein 24-like [Temnothorax curvispinosus],0,785
Lneg_g14348_i1,Lneg_g14348,74.138,ref|XP_011061462.1|,PREDICTED: keratinocyte proline-rich protein-like [Acromyrmex echinatior],2.11E-61,199
Lneg_g14349_i1,Lneg_g14349,96.491,gb|KMQ86143.1|,sh3 domain-containing isoform x3 [Lasius niger],7.28E-142,398
Lneg_g14352_i1,Lneg_g14352,76.147,ref|XP_025990528.1|,G-protein coupled receptor moody [Solenopsis invicta],0,819
Lneg_g14355_i1,Lneg_g14355,70.423,gb|KMQ81710.1|,senescence-associated protein [Lasius niger],1.61E-24,90.9
Lneg_g14356_i1,Lneg_g14356,98.525,ref|XP_024890616.1|,optomotor-blind protein [Temnothorax curvispinosus],0,660
Lneg_g14357_i1,Lneg_g14357,99.87,gb|KMQ87316.1|,exocyst complex component 6 [Lasius niger],0,1595
Lneg_g14360_i1,Lneg_g14360,81.262,ref|XP_018047501.1|,"PREDICTED: fumarate hydratase, mitochondrial-like [Atta colombica]",0,858
Lneg_g14362_i1,Lneg_g14362,99.514,gb|KMQ85983.1|,mpn domain-containing protein [Lasius niger],0,1273
Lneg_g14364_i1,Lneg_g14364,93.966,ref|XP_012232150.1|,PREDICTED: irregular chiasm C-roughest protein-like isoform X1 [Linepithema humile],3.54E-68,225
Lneg_g14365_i1,Lneg_g14365,67.869,ref|XP_012220887.1|,PREDICTED: two pore potassium channel protein sup-9 isoform X1 [Linepithema humile],6.22E-132,388
Lneg_g14366_i2,Lneg_g14366,91.055,ref|XP_012224370.1|,PREDICTED: PH and SEC7 domain-containing protein 1 isoform X1 [Linepithema humile],0,1723
Lneg_g14367_i1,Lneg_g14367,82.143,ref|XP_011068780.1|,PREDICTED: branchpoint-bridging protein-like [Acromyrmex echinatior],2.12E-53,166
Lneg_g14368_i1,Lneg_g14368,98.225,gb|KMQ92748.1|,secreted salivary gland [Lasius niger],8.21E-102,292
Lneg_g14369_i1,Lneg_g14369,99.355,ref|XP_011161996.1|,tubulin beta chain [Solenopsis invicta],5.13E-111,325
Lneg_g14370_i1,Lneg_g14370,94.363,ref|XP_025996506.1|,"myosin heavy chain, muscle isoform X25 [Solenopsis invicta]",0,652
Lneg_g14371_i1,Lneg_g14371,52.239,gb|KMQ83323.1|,f-box only protein 21 [Lasius niger],6.48E-19,81.6
Lneg_g14372_i1,Lneg_g14372,70,gb|KMQ83770.1|,proto-oncogene tyrosine-protein kinase ros [Lasius niger],1.36E-48,160
Lneg_g14376_i1,Lneg_g14376,62.215,ref|XP_397545.2|,uncharacterized protein LOC409096 [Apis mellifera],3.41E-135,396
Lneg_g14377_i1,Lneg_g14377,97.07,gb|KMQ89784.1|,hypothetical protein RF55_10542 [Lasius niger],0,550
Lneg_g14378_i1,Lneg_g14378,99.315,gb|KMQ89020.1|,"putative atp-dependent rna helicase ddx27, partial [Lasius niger]",1.5E-99,305
Lneg_g14380_i1,Lneg_g14380,60.902,ref|XP_039306549.1|,uncharacterized protein LOC120358057 [Solenopsis invicta],0,1373
Lneg_g14381_i2,Lneg_g14381,82.353,ref|XP_024877992.1|,uncharacterized protein LOC112458535 [Temnothorax curvispinosus],1.08E-62,189
Lneg_g14382_i1,Lneg_g14382,92.5,gb|KMQ92603.1|,hypothetical protein RF55_7386 [Lasius niger],2.87E-38,135
Lneg_g14384_i1,Lneg_g14384,27.941,ref|XP_024893525.1|,uncharacterized protein LOC112468537 [Temnothorax curvispinosus],7.51E-20,89
Lneg_g14386_i1,Lneg_g14386,37.722,gb|KMQ88498.1|,hypothetical protein RF55_12004 [Lasius niger],4.69E-34,131
Lneg_g14388_i1,Lneg_g14388,99.517,gb|KMQ94378.1|,tyrosine-protein kinase hopscotch [Lasius niger],3.73E-146,436
Lneg_g14390_i1,Lneg_g14390,43.103,ref|XP_039315237.1|,uncharacterized protein LOC120359877 [Solenopsis invicta],7.31E-54,179
Lneg_g14391_i1,Lneg_g14391,75.652,gb|KMQ85747.1|,transcription factor pml [Lasius niger],6.97E-54,174
Lneg_g14392_i1,Lneg_g14392,38.261,gb|KMQ92618.1|,reverse transcriptase [Lasius niger],2.55E-47,179
Lneg_g14393_i1,Lneg_g14393,41.06,gb|KMQ92618.1|,reverse transcriptase [Lasius niger],8.07E-127,429
Lneg_g14396_i1,Lneg_g14396,65.468,gb|KMQ92560.1|,hypothetical protein RF55_7437 [Lasius niger],1.22E-38,132
Lneg_g14399_i1,Lneg_g14399,98.214,gb|KMQ84147.1|,broad-complex core protein isoforms 1 2 3 4 5 [Lasius niger],7.89E-120,344
Lneg_g14400_i1,Lneg_g14400,87.986,ref|XP_024867776.1|,"IST1 homolog, partial [Temnothorax curvispinosus]",1.59E-169,476
Lneg_g14402_i1,Lneg_g14402,98.113,ref|XP_026829951.1|,uncharacterized protein LOC105277751 [Ooceraea biroi],2.42E-112,323
Lneg_g14403_i1,Lneg_g14403,40.8,ref|XP_039315439.1|,uncharacterized protein LOC120360000 [Solenopsis invicta],1.37E-53,185
Lneg_g14404_i1,Lneg_g14404,67.299,ref|XP_011169080.1|,uncharacterized protein LOC105202327 [Solenopsis invicta],0,612
Lneg_g14405_i1,Lneg_g14405,67.722,ref|XP_026826141.1|,uncharacterized protein LOC109611337 [Ooceraea biroi],0,1716
Lneg_g14407_i1,Lneg_g14407,90.099,ref|XP_039311437.1|,uncharacterized protein LOC105195966 [Solenopsis invicta],4.99E-29,103
Lneg_g14408_i1,Lneg_g14408,76.068,ref|XP_024882927.1|,poly(U)-specific endoribonuclease homolog [Temnothorax curvispinosus],0,553
